"","govtrack","twitter","official_full","gender","party","state","birthday","official","ProgCauc","FreeCauc"
"1",300002,"SenAlexander","Lamar Alexander","M","Republican","TN","1940-07-03","Lamar Alexander","0",0
"2",300011,"SenatorBoxer","Barbara Boxer","F","Democrat","CA","1940-11-11","Barbara Boxer","0",0
"3",300018,"SenatorCantwell","Maria Cantwell","F","Democrat","WA","1958-10-13","Maria Cantwell","0",0
"4",300019,"SenatorCarper","Thomas R. Carper","M","Democrat","DE","1947-01-23","Thomas Carper","0",0
"5",300023,"SenThadCochran","Thad Cochran","M","Republican","MS","1937-12-07","Thad Cochran","0",0
"6",300025,"SenatorCollins","Susan M. Collins","F","Republican","ME","1952-12-07","Susan Collins","0",0
"7",300027,"JohnCornyn","John Cornyn","M","Republican","TX","1952-02-02","John Cornyn","0",0
"8",300030,"MikeCrapo","Mike Crapo","M","Republican","ID","1951-05-20","Mike Crapo","0",0
"9",300038,"SenatorDurbin","Richard J. Durbin","M","Democrat","IL","1944-11-21","Richard Durbin","0",0
"10",300041,"SenatorEnzi","Michael B. Enzi","M","Republican","WY","1944-02-01","Michael Enzi","0",0
"11",300043,"SenFeinstein","Dianne Feinstein","F","Democrat","CA","1933-06-22","Dianne Feinstein","0",0
"12",300047,"GrahamBlog","Lindsey Graham","M","Republican","SC","1955-07-09","Lindsey Graham","0",0
"13",300048,"ChuckGrassley","Chuck Grassley","M","Republican","IA","1933-09-17","Chuck Grassley","0",0
"14",300052,"SenOrrinHatch","Orrin G. Hatch","M","Republican","UT","1934-03-22","Orrin Hatch","0",0
"15",300055,"InhofePress","James M. Inhofe","M","Republican","OK","1934-11-17","James Inhofe","0",0
"16",300065,"SenatorLeahy","Patrick J. Leahy","M","Democrat","VT","1940-03-31","Patrick Leahy","0",0
"17",300071,"SenJohnMcCain","John McCain","M","Republican","AZ","1936-08-29","John McCain","0",0
"18",300072,"McConnellPress","Mitch McConnell","M","Republican","KY","1942-02-20","Mitch McConnell","0",0
"19",300073,"SenatorBarb","Barbara A. Mikulski","F","Democrat","MD","1936-07-20","Barbara Mikulski","0",0
"20",300075,"LisaMurkowski","Lisa Murkowski","F","Republican","AK","1957-05-22","Lisa Murkowski","0",0
"21",300076,"PattyMurray","Patty Murray","F","Democrat","WA","1950-10-11","Patty Murray","0",0
