"","official_full","gender","party","state","birthday"
"1","Sherrod Brown","M","Democrat","OH","1952-11-09"
"2","Maria Cantwell","F","Democrat","WA","1958-10-13"
"3","Benjamin L. Cardin","M","Democrat","MD","1943-10-05"
"4","Thomas R. Carper","M","Democrat","DE","1947-01-23"
"5","Robert P. Casey, Jr.","M","Democrat","PA","1960-04-13"
"6","Bob Corker","M","Republican","TN","1952-08-24"
"7","Dianne Feinstein","F","Democrat","CA","1933-06-22"
"8","Orrin G. Hatch","M","Republican","UT","1934-03-22"
"9","Amy Klobuchar","F","Democrat","MN","1960-05-25"
"10","Claire McCaskill","F","Democrat","MO","1953-07-24"
"11","Robert Menendez","M","Democrat","NJ","1954-01-01"
"12","Bill Nelson","M","Democrat","FL","1942-09-29"
"13","Bernard Sanders","M","Independent","VT","1941-09-08"
"14","Debbie Stabenow","F","Democrat","MI","1950-04-29"
"15","Jon Tester","M","Democrat","MT","1956-08-21"
"16","Sheldon Whitehouse","M","Democrat","RI","1955-10-20"
"17","John Barrasso","M","Republican","WY","1952-07-21"
"18","Roger F. Wicker","M","Republican","MS","1951-07-05"
"19","Lamar Alexander","M","Republican","TN","1940-07-03"
"20","Thad Cochran","M","Republican","MS","1937-12-07"
"21","Susan M. Collins","F","Republican","ME","1952-12-07"
"22","John Cornyn","M","Republican","TX","1952-02-02"
"23","Richard J. Durbin","M","Democrat","IL","1944-11-21"
"24","Michael B. Enzi","M","Republican","WY","1944-02-01"
"25","Lindsey Graham","M","Republican","SC","1955-07-09"
"26","James M. Inhofe","M","Republican","OK","1934-11-17"
"27","Mitch McConnell","M","Republican","KY","1942-02-20"
"28","Jeff Merkley","M","Democrat","OR","1956-10-24"
"29","Jack Reed","M","Democrat","RI","1949-11-12"
"30","James E. Risch","M","Republican","ID","1943-05-03"
"31","Pat Roberts","M","Republican","KS","1936-04-20"
"32","Jeff Sessions","M","Republican","AL","1946-12-24"
"33","Jeanne Shaheen","F","Democrat","NH","1947-01-28"
"34","Tom Udall","M","Democrat","NM","1948-05-18"
"35","Mark R. Warner","M","Democrat","VA","1954-12-15"
"36","Kirsten E. Gillibrand","F","Democrat","NY","1966-12-09"
"37","Al Franken","M","Democrat","MN","1951-05-21"
"38","Christopher A. Coons","M","Democrat","DE","1963-09-09"
"39","Joe Manchin, III","M","Democrat","WV","1947-08-24"
"40","Robert B. Aderholt","M","Republican","AL","1965-07-22"
"41","Justin Amash","M","Republican","MI","1980-04-18"
"42","Kelly Ayotte","F","Republican","NH","1968-06-27"
"43","Tammy Baldwin","F","Democrat","WI","1962-02-11"
"44","Lou Barletta","M","Republican","PA","1956-01-28"
"45","Joe Barton","M","Republican","TX","1949-09-15"
"46","Karen Bass","F","Democrat","CA","1953-10-03"
"47","Xavier Becerra","M","Democrat","CA","1958-01-26"
"48","Dan Benishek","M","Republican","MI","1952-04-20"
"49","Michael F. Bennet","M","Democrat","CO","1964-11-28"
"50","Gus M. Bilirakis","M","Republican","FL","1963-02-08"
"51","Rob Bishop","M","Republican","UT","1951-07-13"
"52","Sanford D. Bishop Jr.","M","Democrat","GA","1947-02-04"
"53","Diane Black","F","Republican","TN","1951-01-16"
"54","Marsha Blackburn","F","Republican","TN","1952-06-06"
"55","Earl Blumenauer","M","Democrat","OR","1948-08-16"
"56","Richard Blumenthal","M","Democrat","CT","1946-02-13"
"57","Roy Blunt","M","Republican","MO","1950-01-10"
"58","John Boozman","M","Republican","AR","1950-12-10"
"59","Madeleine Z. Bordallo","F","Democrat","GU","1933-05-31"
"60","Charles W. Boustany Jr.","M","Republican","LA","1956-02-21"
"61","Barbara Boxer","F","Democrat","CA","1940-11-11"
"62","Kevin Brady","M","Republican","TX","1955-04-11"
"63","Robert A. Brady","M","Democrat","PA","1945-04-07"
"64","Mo Brooks","M","Republican","AL","1954-04-29"
"65","Corrine Brown","F","Democrat","FL","1946-11-11"
"66","Vern Buchanan","M","Republican","FL","1951-05-08"
"67","Larry Bucshon","M","Republican","IN","1962-05-31"
"68","Michael C. Burgess","M","Republican","TX","1950-12-23"
"69","Richard Burr","M","Republican","NC","1955-11-30"
"70","G. K. Butterfield","M","Democrat","NC","1947-04-27"
"71","Ken Calvert","M","Republican","CA","1953-06-08"
"72","Shelley Moore Capito","F","Republican","WV","1953-11-26"
"73","Lois Capps","F","Democrat","CA","1938-01-10"
"74","Michael E. Capuano","M","Democrat","MA","1952-01-09"
"75","John C. Carney Jr.","M","Democrat","DE","1956-05-20"
"76","André Carson","M","Democrat","IN","1974-10-16"
"77","John R. Carter","M","Republican","TX","1941-11-06"
"78","Bill Cassidy","M","Republican","LA","1957-09-28"
"79","Kathy Castor","F","Democrat","FL","1966-08-20"
"80","Steve Chabot","M","Republican","OH","1953-01-22"
"81","Jason Chaffetz","M","Republican","UT","1967-03-26"
"82","Judy Chu","F","Democrat","CA","1953-07-07"
"83","David N. Cicilline","M","Democrat","RI","1961-07-15"
"84","Yvette D. Clarke","F","Democrat","NY","1964-11-21"
"85","Wm. Lacy Clay","M","Democrat","MO","1956-07-27"
"86","Emanuel Cleaver","M","Democrat","MO","1944-10-26"
"87","James E. Clyburn","M","Democrat","SC","1940-07-21"
"88","Daniel Coats","M","Republican","IN","1943-05-16"
"89","Mike Coffman","M","Republican","CO","1955-03-19"
"90","Steve Cohen","M","Democrat","TN","1949-05-24"
"91","Tom Cole","M","Republican","OK","1949-04-28"
"92","K. Michael Conaway","M","Republican","TX","1948-06-11"
"93","Gerald E. Connolly","M","Democrat","VA","1950-03-30"
"94","John Conyers Jr.","M","Democrat","MI","1929-05-16"
"95","Jim Cooper","M","Democrat","TN","1954-06-19"
"96","Jim Costa","M","Democrat","CA","1952-04-13"
"97","Joe Courtney","M","Democrat","CT","1953-04-06"
"98","Mike Crapo","M","Republican","ID","1951-05-20"
"99","Eric A. ""Rick"" Crawford","M","Republican","AR","1966-01-22"
"100","Ander Crenshaw","M","Independent","FL","1944-09-01"
"101","Joseph Crowley","M","Democrat","NY","1962-03-16"
"102","Henry Cuellar","M","Democrat","TX","1955-09-19"
"103","John Abney Culberson","M","Republican","TX","1956-08-24"
"104","Elijah E. Cummings","M","Democrat","MD","1951-01-18"
"105","Danny K. Davis","M","Democrat","IL","1941-09-06"
"106","Susan A. Davis","F","Democrat","CA","1944-04-13"
"107","Peter A. DeFazio","M","Democrat","OR","1947-05-27"
"108","Diana DeGette","F","Democrat","CO","1957-07-29"
"109","Rosa L. DeLauro","F","Democrat","CT","1943-03-02"
"110","Jeff Denham","M","Republican","CA","1967-07-29"
"111","Charles W. Dent","M","Republican","PA","1960-05-24"
"112","Scott DesJarlais","M","Republican","TN","1964-02-21"
"113","Theodore E. Deutch","M","Democrat","FL","1966-05-07"
"114","Mario Diaz-Balart","M","Republican","FL","1961-09-25"
"115","Lloyd Doggett","M","Democrat","TX","1946-10-06"
"116","Joe Donnelly","M","Democrat","IN","1955-09-28"
"117","Michael F. Doyle","M","Democrat","PA","1953-08-05"
"118","Sean P. Duffy","M","Republican","WI","1971-10-03"
"119","Jeff Duncan","M","Republican","SC","1966-01-07"
