"","govtrack","twitter"
"1",412664,"RepAmata"
"2",412645,"RepHardy"
"3",412428,"RepToddYoung"
"4",412667,"SenJoniErnst"
"5",412668,"senthomtillis"
"6",412430,"RepKevinYoder"
"7",412211,"RepJohnYarmuth"
"8",400440,"RepDonYoung"
"9",412402,"Rep_SteveWomack"
"10",412412,"RepWilson"
"11",412410,"RepWebster"
"12",412321,"MarkWarner"
"13",412255,"RobWittman"
"14",412247,"SenWhitehouse"
"15",412239,"PeterWelch"
"16",412213,"RepWalberg"
"17",400623,"RepDWStweets"
"18",400627,"RepWestmoreland"
"19",400433,"RepJoeWilson"
"20",400419,"RepGregWalden"
"21",300100,"RonWyden"
"22",400432,"SenatorWicker"
"23",400431,"RepEdWhitfield"
"24",400422,"MaxineWaters"
"25",400415,"ChrisVanHollen"
"26",400417,"RepVisclosky"
"27",400416,"NydiaVelazquez"
"28",400413,"SenatorTomUdall"
"29",400414,"RepFredUpton"
"30",412405,"RepTipton"
"31",412319,"RepPaulTonko"
"32",412318,"RepDinaTitus"
"33",412317,"CongressmanGT"
"34",412254,"NikiInTheHouse"
"35",412244,"SenatorTester"
"36",400411,"RepMikeTurner"
"37",400406,"TiberiPress"
"38",400408,"SenToomey"
"39",400403,"RepThompson"
"40",400546,"SenJohnThune"
"41",400404,"MacTXPress"
"42",400402,"BennieGThompson"
"43",412417,"AustinScottGA08"
"44",412392,"RepStutzman"
"45",412461,"RepSteveStivers"
"46",412396,"RepTerriSewell"
"47",412471,"SenatorTimScott"
"48",412399,"RepDavid"
"49",412323,"SenatorShaheen"
"50",412315,"RepSchrader"
"51",412312,NA
"52",412261,"SteveScalise"
"53",412259,"RepSpeier"
"54",412217,"RepAdrianSmith"
"55",412186,"RepSires"
"56",400363,"RepDavidScott"
"57",400355,"RepLindaSanchez"
"58",409888,"RepBillShuster"
"59",400361,"RepAdamSchiff"
"60",400376,"CongMikeSimpson"
"61",400360,"JanSchakowsky"
"62",300088,"SenatorSessions"
"63",300093,"SenStabenow"
"64",400381,"LamarSmithTX21"
"65",400379,"RepAdamSmith"
"66",400378,"LouiseSlaughter"
"67",400373,"RepShimkus"
"68",400371,"BradSherman"
"69",300089,"SenShelby"
"70",400367,"PeteSessions"
"71",400366,"RepJoseSerrano"
"72",400365,"JimPressOffice"
"73",400364,"RepBobbyScott"
"74",300087,"SenSchumer"
"75",400357,"SenSanders"
"76",400356,"LorettaSanchez"
"77",412491,"SenRubioPress"
"78",412411,"RepDennisRoss"
"79",412426,"ToddRokita"
"80",412394,"RepMarthaRoby"
"81",412483,"RepScottRigell"
"82",412432,"RepRichmond"
"83",412489,"RepRibble"
"84",412462,"RepJimRenacci"
"85",412393,"RepTomReed"
"86",412311,"TomRooney"
"87",412310,"DrPhilRoe"
"88",412202,"PeterRoskam"
"89",400660,"DaveReichert"
"90",400352,"RepTimRyan"
"91",400349,"Call_Me_Dutch"
"92",400341,"RepMikeRogersAL"
"93",400351,"SpeakerRyan"
"94",400350,"RepBobbyRush"
"95",400348,"RepEdRoyce"
"96",400347,"RepRoybalAllard"
"97",400344,"RosLehtinen"
"98",400340,"RepHalRogers"
"99",300083,"SenPatRoberts"
"100",300082,"SenatorReid"
"101",300081,"SenJackReed"
"102",400333,"CBRangel"
"103",412331,"RepMikeQuigley"
"104",412492,NA
"105",412431,"RepMikePompeo"
"106",412443,"CongPalazzo"
"107",412309,"CongBillPosey"
"108",412308,"JaredPolis"
"109",412307,"ChelliePingree"
"110",412306,"PedroPierluisi"
"111",412305,"SenGaryPeters"
"112",412303,"RepErikPaulsen"
"113",412192,"RepPerlmutter"
"114",400652,"JudgeTedPoe"
"115",400626,"RepTomPrice"
"116",400313,"RepStevePearce"
"117",400326,"RepDavidEPrice"
"118",400325,"SenRobPortman"
"119",400320,"RepJoePitts"
"120",400314,"NancyPelosi"
"121",400309,"BillPascrell"
"122",400308,"FrankPallone"
"123",412302,"RepPeteOlson"
"124",412409,"RepRichNugent"
"125",412475,"RepKristiNoem"
"126",400441,"RandyNeugebauer"
"127",400297,"Rep_DevinNunes"
"128",400290,"GraceNapolitano"
"129",400295,"EleanorNorton"
"130",300078,"SenBillNelson"
"131",400291,"RepRichardNeal"
"132",400289,"RepJerryNadler"
"133",412391,"Sen_JoeManchin"
"134",412474,"RepMickMulvaney"
"135",412466,"RepMeehan"
"136",412487,"RepMcKinley"
"137",412468,"RepTomMarino"
"138",412295,"RepMcClintock"
"139",412325,"SenJeffMerkley"
"140",412243,"McCaskillOffice"
"141",412189,"RepMcNerney"
"142",412190,"GOPLeader"
"143",400663,"DorisMatsui"
"144",400661,"RepGwenMoore"
"145",400659,"CathyMcMorris"
"146",400656,"RepKenMarchant"
"147",400654,"RepMcCaul"
"148",400644,"PatrickMcHenry"
"149",300075,"LisaMurkowski"
"150",400285,"RepTimMurphy"
"151",400276,"CandiceMiller"
"152",400279,NA
"153",400259,"BettyMcCollum04"
"154",400271,"GregoryMeeks"
"155",300076,"PattyMurray"
"156",400284,"JerryMoran"
"157",300073,"SenatorBarb"
"158",400273,NA
"159",400272,"SenatorMenendez"
"160",400262,"RepJimMcDermott"
"161",300072,"McConnellPress"
"162",400263,"RepMcGovern"
"163",300071,"SenJohnMcCain"
"164",400253,"SenMarkey"
"165",400251,"RepMaloney"
"166",412495,"SenMikeLee"
"167",412445,"USRepLong"
"168",412464,"SenatorLankford"
"169",412419,"Raul_Labrador"
"170",412294,"CynthiaLummis"
"171",412293,"RepBenRayLujan"
"172",412292,"RepBlainePress"
"173",412290,"RepLanceNJ7"
"174",412256,"BobLatta"
"175",412209,"DaveLoebsack"
"176",412191,"RepDLamborn"
"177",400630,"RepLipinski"
"178",400249,"RepStephenLynch"
"179",400232,"RepRickLarsen"
"180",400230,"JimLangevin"
"181",400233,"RepJohnLarson"
"182",400244,"RepLoBiondo"
"183",400237,"RepBarbaraLee"
"184",400247,"RepFrankLucas"
"185",400246,"NitaLowey"
"186",400245,"RepZoeLofgren"
"187",400240,"RepJohnLewis"
"188",400238,"RepSandyLevin"
"189",300065,"SenatorLeahy"
"190",412421,"RepKinzinger"
"191",412465,"MikeKellyPA"
"192",412435,"USRepKeating"
"193",400224,"RepJohnKline"
"194",400220,"SteveKingIA"
"195",400222,"SenatorKirk"
"196",400219,"RepPeteKing"
"197",400218,"RepRonKind"
"198",400211,"RepMarcyKaptur"
"199",412496,"SenRonJohnson"
"200",412460,"RepBillJohnson"
"201",412284,"RepLynnJenkins"
"202",412226,"Jim_Jordan"
"203",412199,"RepHankJohnson"
"204",400209,"RepWalterJones"
"205",400206,"SamsPressShop"
"206",400204,"RepEBJ"
"207",400199,"JacksonLeeTX18"
"208",400195,"RepSteveIsrael"
"209",400196,"DarrellIssa"
"210",300055,"InhofePress"
"211",412498,"Rep_JaniceHahn"
"212",412494,"SenJohnHoeven"
"213",412484,"RepRobertHurt"
"214",412422,"RepHultgren"
"215",412437,"RepHuizenga"
"216",412429,"CongHuelskamp"
"217",412486,"HerreraBeutler"
"218",412446,"RepJoeHeck"
"219",412444,"RepHartzler"
"220",412454,"RepRichardHanna"
"221",412283,"Rep_Hunter"
"222",412282,"JAHimes"
"223",412281,"MartinHeinrich"
"224",412280,"GreggHarper"
"225",412200,"MazieHirono"
"226",412218,"SenDeanHeller"
"227",400641,"RepBrianHiggins"
"228",400175,"RepHensarling"
"229",400185,"RepMikeHonda"
"230",400189,"WhipHoyer"
"231",400179,"USRepRHinojosa"
"232",300052,"SenOrrinHatch"
"233",400170,"RepHastingsFL"
"234",412485,"RepMGriffith"
"235",412473,"TGowdySC"
"236",412397,"RepGosar"
"237",412453,"RepChrisGibson"
"238",412463,"RepBobGibbs"
"239",412406,"SenCoryGardner"
"240",412388,"RepTomGraves"
"241",412382,"RepGaramendi"
"242",400653,"RepAlGreen"
"243",400651,"RepLouieGohmert"
"244",400162,"RepraulGrijalva"
"245",400145,"RepGarrett"
"246",400163,"LuisGutierrez"
"247",400160,"RepGeneGreen"
"248",300048,"ChuckGrassley"
"249",400157,"RepKayGranger"
"250",300047,"GrahamBlog"
"251",400154,"RepGoodlatte"
"252",412480,"RepBillFlores"
"253",412482,"Farenthold"
"254",412476,"RepChuck"
"255",412479,"RepFincherTN08"
"256",412275,"RepFleming"
"257",412327,"RepMarciaFudge"
"258",400646,"RepFitzpatrick"
"259",400643,"VirginiaFoxx"
"260",400640,"JeffFortenberry"
"261",400141,"RepTrentFranks"
"262",400137,"Randy_Forbes"
"263",400134,"JeffFlake"
"264",300043,"SenFeinstein"
"265",400130,"ChakaFattah"
"266",400129,"RepSamFarr"
"267",412457,"RepReneeEllmers"
"268",412263,"RepDonnaEdwards"
"269",412215,"KeithEllison"
"270",300041,"SenatorEnzi"
"271",400124,"RepAnnaEshoo"
"272",400122,"RepEliotEngel"
"273",412477,"DesJarlaisTN04"
"274",412472,"RepJeffDuncan"
"275",412488,"RepSeanDuffy"
"276",412403,"RepJeffDenham"
"277",412385,"RepTedDeutch"
"278",412205,"SenDonnelly"
"279",400648,NA
"280",400108,"MarioDB"
"281",300038,"SenatorDurbin"
"282",400116,"RepJohnDuncanJr"
"283",400114,"USRepMikeDoyle"
"284",400111,"RepLloydDoggett"
"285",400103,"RosaDeLauro"
"286",400101,"RepDianaDeGette"
"287",400100,"RepPeterDeFazio"
"288",412390,"SenCoonsOffice"
"289",412400,"RepRickCrawford"
"290",412470,"RepCicilline"
"291",412379,"RepJudyChu"
"292",412272,"GerryConnolly"
"293",412271,"RepMikeCoffman"
"294",412270,"JasonInTheHouse"
"295",412258,"RepAndreCarson"
"296",412248,"SenBobCorker"
"297",412246,"SenBobCasey"
"298",412193,"RepJoeCourtney"
"299",412236,"RepCohen"
"300",412221,"YvetteClarke"
"301",400657,"RepCuellar"
"302",400655,"ConawayTX11"
"303",400639,"RepCleaver"
"304",400618,"RepJimCosta"
"305",300027,"JohnCornyn"
"306",400077,"TomColeOK04"
"307",400068,"JudgeCarter"
"308",400074,NA
"309",400089,"CongCulberson"
"310",400061,"SenCapito"
"311",400086,"AnderCrenshaw"
"312",400087,"RepJoeCrowley"
"313",400063,"RepMikeCapuano"
"314",400062,"RepLoisCapps"
"315",300025,"SenatorCollins"
"316",400090,"RepCummings"
"317",300030,"MikeCrapo"
"318",400081,"RepJimCooper"
"319",400080,"RepJohnConyers"
"320",402675,"SenDanCoats"
"321",400075,"Clyburn"
"322",400071,"RepSteveChabot"
"323",300019,"SenatorCarper"
"324",400064,"SenatorCardin"
"325",300018,"SenatorCantwell"
"326",400057,"KenCalvert"
"327",412490,"SenBlumenthal"
"328",412427,"RepLarryBucshon"
"329",412395,"RepMoBrooks"
"330",412478,"RepDianeBlack"
"331",412436,"CongressmanDan"
"332",412404,"RepKarenBass"
"333",412469,"RepLouBarletta"
"334",412330,"SenBennetCo"
"335",412251,"SenJohnBarrasso"
"336",412196,"VernBuchanan"
"337",412250,"RepGusBilirakis"
"338",400636,"RepBoustany"
"339",400616,"GKButterfield"
"340",400029,"RepRobBishop"
"341",400052,"MichaelCBurgess"
"342",400032,"MarshaBlackburn"
"343",400040,"JohnBoozman"
"344",400047,"RepBrady"
"345",400054,"SenatorBurr"
"346",400050,"SenSherrodBrown"
"347",400046,"RepKevinBrady"
"348",300011,"SenatorBoxer"
"349",400034,"RoyBlunt"
"350",400033,"BlumenauerMedia"
"351",400030,"SanfordBishop"
"352",400021,"RepBecerra"
"353",400018,"RepJoeBarton"
"354",412493,"KellyAyotte"
"355",412438,NA
"356",300002,"SenAlexander"
"357",400004,"Robert_Aderholt"
"358",400048,"RepCorrineBrown"
"359",412407,"JohnCarneyde"
"360",400041,NA
"361",412505,"RepDelBene"
"362",412501,"RepBonamici"
"363",300023,"SenThadCochran"
"364",412545,"SenAngusKing"
"365",412500,"MarkAmodeiNV2"
"366",412558,"RepLujanGrisham"
"367",412526,"RepDeSantis"
"368",412544,"RepJohnDelaney"
"369",412514,"RepSwalwell"
"370",412568,"RepMullin"
"371",412543,"RepJoeKennedy"
"372",412539,"SusanWBrooks"
"373",412538,"RepWalorski"
"374",412572,"RepTomRice"
"375",412560,"RepGraceMeng"
"376",412540,"RepLukeMesser"
"377",412562,"RepSeanMaloney"
"378",412584,"RepDennyHeck"
"379",412553,"RepHolding"
"380",408211,"USRepRickNolan"
"381",412520,"RepMarkTakano"
"382",412561,"RepJeffries"
"383",412566,"RepDaveJoyce"
"384",412521,"RepLowenthal"
"385",412531,"RepDougCollins"
"386",412574,"TXRandy14"
"387",412583,"RepDerekKilmer"
"388",412532,"TulsiPress"
"389",412549,"SteveDaines"
"390",412525,"RepTedYoho"
"391",412524,"RepEsty"
"392",412557,"RepAnnieKuster"
"393",412546,"RepDanKildee"
"394",412571,"RepCartwright"
"395",412508,"SenTomCotton"
"396",412537,"RepCheri"
"397",412512,"RepBera"
"398",412257,"RepBillFoster"
"399",412551,"RepPittenger"
"400",412552,"RepMarkMeadows"
"401",412529,"RepLoisFrankel"
"402",412550,"RepRichHudson"
"403",412579,"RepVeasey"
"404",412580,"RepFilemonVela"
"405",412569,"RepScottPerry"
"406",412519,"CongressmanRuiz"
"407",400606,"RepMattSalmon"
"408",412513,"RepPaulCook"
"409",412555,"RepKevinCramer"
"410",412563,"RepChrisCollins"
"411",412548,"RepAnnWagner"
"412",412542,"SenWarren"
"413",412286,"RepKirkpatrick"
"414",412536,"RodneyDavis"
"415",412581,"RepChrisStewart"
"416",412541,"RepAndyBarr"
"417",412573,"SenTedCruz"
"418",400093,"RepDannyDavis"
"419",412527,"RepMurphyFL"
"420",400158,"RepSamGraves"
"421",412567,"RepJBridenstine"
"422",400013,"SenatorBaldwin"
"423",412416,"RepRobWoodall"
"424",412578,"RepRWilliams"
"425",400097,"RepSusanDavis"
"426",412533,"RepDuckworth"
"427",412575,"RepBetoORourke"
"428",412556,"SenatorFischer"
"429",412511,"RepHuffman"
"430",412554,"SenatorHeitkamp"
"431",412434,"RepAndyHarrisMD"
"432",412506,"RepDonaldPayne"
"433",412523,"RepScottPeters"
"434",412570,"KeithRothfus"
"435",412576,"JoaquinCastrotx"
"436",412564,"RepBradWenstrup"
"437",412515,"RepDavidValadao"
"438",412509,"RepSinema"
"439",400418,NA
"440",412269,NA
"441",400142,"USRepRodney"
"442",412378,"SenFranken"
"443",412278,"RepGuthrie"
"444",412510,"RepLaMalfa"
"445",412195,"USRepKCastor"
"446",412242,NA
"447",400194,"SenatorIsakson"
"448",412517,"RepCardenas"
"449",412214,"RepTimWalz"
"450",412585,"RepMarkPocan"
"451",412522,"RepJuanVargas"
"452",412582,"SenKaineOffice"
"453",412507,"SenBrianSchatz"
"454",412212,"RepSarbanes"
"455",412516,"JuliaBrownley26"
"456",NA,"RepThomasMassie"
"457",NA,"RepRobinKelly"
"458",NA,"SenGillibrand"
"459",412322,"SenatorRisch"
"460",412565,"RepBeatty"
"461",400607,"RepSanfordSC"
"462",412596,"RepJasonSmith"
"463",400380,"RepChrisSmith"
"464",412194,"ChrisMurphyCT"
"465",412598,"CoryBooker"
"466",412600,"RepKClark"
"467",412601,"RepByrne"
"468",412603,"USRepDavidJolly"
"469",412276,NA
"470",412660,"RepNewhouse"
"471",412663,"RepEvanJenkins"
"472",412653,"RepRatcliffe"
"473",412624,"RepLoudermilk"
"474",412622,"RepBuddyCarter"
"475",412621,"RepCurbelo"
"476",412643,"RepTomMacArthur"
"477",412629,"RepBost"
"478",412447,"RepFrankGuinta"
"479",412607,"RepAdams"
"480",412658,"RepComstock"
"481",412642,"RepBradAshford"
"482",412633,"RepPoliquin"
"483",412634,"RepMoolenaar"
"484",412648,"RepStefanik"
"485",412651,"RepRyanCostello"
"486",412641,"RepDavidRouzer"
"487",412608,"USRepGaryPalmer"
